"Canton 8 (Huangpu),""63 Runan Street, Huangpu, Shanghai, 中國"""
"Le Parc Les Crayères, ""64 boulevard Henry-Vasnier, Reims, 51100, 法國"""
"Relais de la Poste,""24 avenue de Maremne, Magescq, 40140, 法國"""
"Mère Brazier,""12 rue Royale, Lyon, 69001, 法國"""
"Paul Bocuse, ""40 quai de la Plage, Collonges-au-Mont-d'Or, 69660, 法國"""
"Maison Ronan Kervarrec, ""1 impasse du Vieux-Bourg, Saint-Grégoire, 35760, 法國"""
"Christopher Coutanceau,""Plage de la Concurrence, La Rochelle, 17000, 法國"""
"La Chèvre d'Or,""Rue du Barri, Èze, 06360, 法國"""
"Le Neuvième Art,""173 rue Cuvier, Lyon, 69006, 法國"""
"Cyril Attrazic, ""10 route du Languedoc, Aumont-Aubrac, 48130, 法國"""
"Maison Rostang,""20 rue Rennequin, Paris, 75017, 法國"""
"William Frachot,""Hostellerie du Chapeau Rouge, 5 rue Michelet, Dijon, 21000, 法國"""
"La Table de Yoann Conte, ""13 vieille route des Pensières, Veyrier-du-Lac, 74290, 法國"""
"La Table de Franck Putelat,""80 chemin des Anglais, au Sud de la Cité, Carcassonne, 11000, 法國"""
"Christophe Hay, ""26 quai Villebois-Mareuil, Blois, 41000, 法國"""
"Le Chabichou by Stéphane Buron,""90 rue des Chenus, Courchevel 1850, Courchevel, 73120, 法國"""
"Le Coquillage, ""Lieu-dit Le Buot, Saint-Méloir-des-Ondes, 35350, 法國"""
"Maison Benoît Vidal, ""Sur-les-Bois, 79 route de Thônes, Annecy, 74940, 法國"""
"Casadelmar, ""Route de Palombaggia, Porto-Vecchio, 20137, 法國"""
"La Pyramide, ""14 boulevard Fernand-Point, Vienne, 38200, 法國"""
"La Villa Archange,""Rue de l'Ouest, Le Cannet, 06110, 法國"""
"The Eight,""2F, Grand Lisboa Hotel, Avenida de Lisboa, Macau, Macau, 澳門"""
"Feng Wei Ju,""5F, StarWorld Hotel, Avenida da Amizade, Macau, Macau, 澳門"""
"Amber,""7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Central, Hong Kong, 香港"""
"Rùn,""2F, The St. Regis Hotel, 1 Harbour Drive, Wan Chai, Hong Kong, 香港"""
"L'Envol,""3F, The St. Regis Hotel, 1 Harbour Drive, Wan Chai, Hong Kong, 香港"""
"The Huaiyang Garden,""Shop 2206a & 2208, 2F, The Londoner, Estrada do Istmo, Cotai, Macau, 澳門"""
"Tin Lung Heen, ""102F, The Ritz-Carlton, International Commerce Centre, 1 Austin Road West, Tsim Sha Tsui, Hong Kong, 香港"""
"Alain Ducasse at Morpheus,""3F, Morpheus, City of Dreams, Estrada do Istmo, Cotai, Macau, 澳門"""
"Tate,""210 Hollywood Road, Sheung Wan, Hong Kong, 香港"""
"Noi by Paulo Airaudo,""5F, Four Seasons Hotel, 8 Finance Street, Central, Hong Kong, 香港"""
"Ying Jee Club, ""Shop G05, 107-108, GF & 1F, Nexxus Building, 41 Connaught Road Central, Central, Hong Kong, 香港"""
"Lai Ching Heen,""GF, Regent, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong, 香港"""
"Lung King Heen,""4F, Four Seasons Hotel, 8 Finance Street, Central, Hong Kong, 香港"""
"Wing Lei,""GF, Wynn Hotel, Rua Cidade de Sintra, NAPE, Macau, Macau, 澳門"""
"Bo Innovation,""1F, H Code, 45 Pottinger Street, Central, Hong Kong, 香港"""
"Arbor,""25F, H Queen's, 80 Queen's Road Central, Central, Hong Kong, 香港"""
"Antiqvvm, ""Rua de Entre Quintas 220, Porto, 4050-240, 葡萄牙"""
"Alma, ""Rua Anchieta 15, Lisboa, 1200-023, 葡萄牙"""
"Mizumi (Macau),""GF, Wynn Hotel, Rua Cidade de Sintra, NAPE, Macau, Macau, 澳門"""
"Vila Joya, ""Estrada da Galé, Albufeira, 8200-416, 葡萄牙"""
"Ocean, ""Rua Anneliese Pohl, Porches, 8400-450, 葡萄牙"""
"The Yeatman, ""Rua do Choupelo, Vila Nova de Gaia, 4400-088, 葡萄牙"""
"Octavium,""8F, One Chinachem Central, 22 Des Voeux Road Central, Central, Hong Kong, 香港"""
"Il Gallo d'Oro, ""Estrada Monumental 147, Funchal, 9004-532, 葡萄牙"""
"Belcanto, ""Rua Serpa Pinto 10A, Lisboa, 1200-445, 葡萄牙"""
"Casa de Chá da Boa Nova, ""Avenida da Liberdade, Leça da Palmeira, 4450-705, 葡萄牙"""
"Colette, ""Judocus Pauwelslaan, Averbode, 3271, 比利時"""
"Ma Langue Sourit,""1 rue Remich, Oetrange, 5331, 盧森堡"""
"Hertog Jan at Botanic,""Leopoldstraat 24, Antwerpen, 2000, 比利時"""
"L'Eau Vive,""route de Floreffe 37, Arbre, 5170, 比利時"""
"Slagmolen,""Molenweg 177, Opglabbeek, 3660, 比利時"""
"Bozar Restaurant,""rue Baron Horta 3, Bruxelles, 1000, 比利時"""
"L'air du temps,""rue de la Croix Monet 2, Liernu, 5310, 比利時"""
"La Villa Lorraine by Yves Mattagne,""Avenue du Vivier d'Oie 75, Bruxelles, 1000, 比利時"""
"La Table de Maxime,""Our 23, Our, 6852, 比利時"""
"Vrijmoed,""Vlaanderenstraat 22, Gent, 9000, 比利時"""
"Ralf Berendsen,""Paalsteenlaan 90, Neerharen, 3620, 比利時"""
"Hof van Cleve, ""Riemegemstraat 1, Kruishoutem, 9770, 比利時"""
"Le Chalet de la Forêt,""drêve de Lorraine 43, Uccle, 1180, 比利時"""
"Nuance,""Kiliaanstraat 8, Duffel, 2570, 比利時"""
"Sir Kwinten, ""Markt 9a, Sint-Kwintens-Lennik, 1750, 比利時"""
"La Durée,""Leenstraat 28, Izegem, 8870, 比利時"""
"Bartholomeus,""Zeedijk 267, Heist, 8301, 比利時"""
"d'Eugénie à Emilie,""place de la Résistance 1, Baudour, 7331, 比利時"""
"Castor, ""Kortrijkseweg 164, Beveren-Leie, 8791, 比利時"""
"De Jonkman, ""Maalsesteenweg 438, Sint-Kruis, 8310, 比利時"""
"Cuchara,""Lepelstraat 3, Lommel, 3920, 比利時"""
"Kwonsooksoo, ""4F, 37 Apgujeong-ro 80-gil, Gangnam-gu, Seoul, 06016, 南韓"""
"Mingles, ""2F, 19 Dosan-daero 67-gil, Gangnam-gu, Seoul, 06016, 南韓"""
"The Jane,""Paradeplein 1, Antwerpen, 2018, 比利時"""
"La Paix, ""rue Ropsy-Chaudron 49, Anderlecht, 1070, 比利時"""
"Mitou, ""24 Dosan-daero 70-gil, Gangnam-gu, Seoul, 06064, 南韓"""
"alla Prima, ""13 Hakdong-ro 17-gil, Gangnam-gu, Seoul, 06045, 南韓"""
"Hand and Flowers,""126 West Street, Marlow, SL7 2BP, 英國"""
"Restaurant Allen, ""2F Center field EAST E205, 231 Teheran-ro, Gangnam-gu, Seoul, 06142, 南韓"""
"Midsummer House,""Midsummer Common, Cambridge, CB4 1HA, 英國"""
"La Yeon, ""23F Shilla Hotel, 249 Dongho-ro, Jung-gu, Seoul, 04605, 南韓"""
"Soigné, ""#201, 2F Sinsa square, 652 Gangnam-daero, Gangnam-gu, Seoul, 06027, 南韓"""
"Kojima, ""6F Boon the Shop, 21 Apgujeong-ro 60-gil, Gangnam-gu, Seoul, 06016, 南韓"""
"Gymkhana,""42 Albemarle Street, Mayfair, London, W1S 4JH, 英國"""
"Opheem,""48 Summer Row, Birmingham, B3 1JJ, 英國"""
"""Le Manoir aux Quat' Saisons, a Belmond Hotel"",""Church Road, Great Milton, OX44 7PD, 英國"""
"The Glenturret Lalique,""The Glenturret Distillery, The Hosh, Torreglen, Crieff, PH7 4HA, 英國"""
"Ynyshir,""Eglwysfach, Machynlleth, SY20 8TA, 英國"""
"Alex Dilling at Hotel Café Royal,""68 Regent Street, Soho, London, W1B 4DY, 英國"""
"Restaurant Sat Bains,""Lenton Lane, Nottingham, NG7 2SA, 英國"""
"Restaurant Andrew Fairlie,""Auchterarder, PH3 1NF, 英國"""
"A. Wong,""70 Wilton Road, Victoria, London, SW1V 1DE, 英國"""
"La Dame de Pic London,""10 Trinity Square, City of London, London, EC3N 4AJ, 英國"""
"Story,""199 Tooley Street, Southwark, London, SE1 2JX, 英國"""
"Liath,""Blackrock Market, 19a Main Street, Blackrock, A94 C8Y1, 愛爾蘭"""
"Chapter One by Mickael Viljanen, ""18-19 Parnell Square North, Rotunda, Dublin, D01 T3V8, 愛爾蘭"""
"Claude Bosi at Bibendum,""Michelin House, 81 Fulham Road, Chelsea, London, SW3 6RD, 英國"""
"The Clove Club,""Shoreditch Town Hall, 380 Old Street, Shoreditch, London, EC1V 9LT, 英國"""
"Terre,""Manor House, Castlemartyr Resort, Castlemartyr, P25 X300, 愛爾蘭"""
"Kitchen Table,""70 Charlotte Street, Fitzrovia, London, W1T 4QG, 英國"""
"Patrick Guilbaud,""21 Upper Merrion Street, Dublin, D02 KF79, 愛爾蘭"""
"dede,""Customs House, Baltimore, P81 K291, 愛爾蘭"""
"Brooklands by Claude Bosi,""1 Grosvenor Place, Belgravia, London, SW1X 7HJ, 英國"""
"Dinner by Heston Blumenthal,""66 Knightsbridge, Knightsbridge, London, SW1X 7LA, 英國"""
"Ikoyi,""180 Strand, Strand, London, WC2R 1EA, 英國"""
"Baan Tepa,""561 Ramkhamhaeng Road, Hua Mak, Bang Kapi, Bangkok, 10240, 泰國"""
"Moor Hall,""Prescot Road, Aughton, L39 6RT, 英國"""
"Trivet,""36 Snowsfields, Southwark, London, SE1 3SU, 英國"""
"Da Terra,""8 Patriot Square, Bethnal Green, London, E2 9NF, 英國"""
"Chef's Table,""61F, Tower Club at Lebua, 1055 Silom Road, Si Lom, Bang Rak, Bangkok, 10500, 泰國"""
"Sühring,""10 Soi Yen Akat 3, Chong Nonsi, Yan Nawa, Bangkok, 10120, 泰國"""
"Sorn,""56 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok, 10110, 泰國"""
"R, ""131 Soi Sukhumvit 53, Khlong Tan Nuea, Vadhana, Bangkok, 10110, 泰國"""
"Bardal,""José Aparicio 1, Ronda, 29400, 西班牙"""
"Mezzaluna,""65F, Tower Club at Lebua, 1055 Silom Road, Si Lom, Bang Rak, Bangkok, 10500, 泰國"""
"El Poblet, ""Correos 8-1º, València, 46002, 西班牙"""
"Gaa,""46/1 Sukhumvit 53, Khlong Tan Nuea, Vadhana, Bangkok, 10110, 泰國"""
"Amelia by Paulo Airaudo,""Zubieta 26, Donostia / San Sebastián, 20007, 西班牙"""
"El Molino de Urdániz,""Carretera N 135, Urdaitz, 31698, 西班牙"""
"Ramón Freixa Madrid,""Claudio Coello 67, Madrid, 28001, 西班牙"""
"El Rincón de Juan Carlos,""Avenida Virgen de Guadalupe 21, La Caleta, Adeje, 38679, 西班牙"""
"Skina,""Cánovas del Castillo 9, Marbella, 29601, 西班牙"""
"Culler de Pau,""Reboredo 73, O Grove, 36980, 西班牙"""
"Smoked Room,""Paseo de la Castellana 57, Madrid, 28046, 西班牙"""
"Les Cols,""Carretera de la Canya, Olot, 17800, 西班牙"""
"Miramar,""Passeig Marítim 7, Llançà, 17490, 西班牙"""
"Cabaña Buenavista, ""Calle Buenavista s/n - Urbanización Buenavista, El Palmar, 30120, 西班牙"""
"Coque,""Marqués de Riscal 11, Madrid, 28010, 西班牙"""
"Paco Roncero,""Alcalá 15, Madrid, 28014, 西班牙"""
"Ricard Camarena,""Avenida Burjassot 54, València, 46009, 西班牙"""
"BonAmb,""Carretera de Benitachell 100, Xàbia, 03730, 西班牙"""
"Deessa,""Plaza de la Lealtad 5, Madrid, 28014, 西班牙"""
"DSTAgE,""Regueros 8, Madrid, 28004, 西班牙"""
"Pepe Vieira,""Camiño da Serpe, Raxó, 36992, 西班牙"""
"El Portal de Echaurren,""Padre José García 19, Ezcaray, 26280, 西班牙"""
"Casa Marcial,""La Salgar, Arriondas, 33549, 西班牙"""
"M.B,""Maria Zambrano 2, Carretera TF 47, Guía de Isora, 38687, 西班牙"""
"Enoteca Paco Pérez,""Marina 19, Barcelona, 08005, 西班牙"""
"Voro,""Urbanización Atalaya de Canyamel, Canyamel, 07589, 西班牙"""
"Maralba,""Violeta Parra 5, Almansa, 02640, 西班牙"""
"Cinc Sentits,""Entença 60, Barcelona, 08015, 西班牙"""
"Mugaritz, ""Aldura Aldea 20 - Otzazulueta Baserria, Errenteria, 20100, 西班牙"""
"Moments, ""Passeig de Gràcia 38-40, Barcelona, 08007, 西班牙"""
"Iván Cerdeño,""Cigarral del Ángel, Toledo, 45004, 西班牙"""
"Aramburu,""Vicente López 1661, Buenos Aires, C1018ABA, 阿根廷"""
"L'Escaleta,""Pujada Estació del Nord 205, Cocentaina, 03824, 西班牙"""
"Bo.TiC,""Avenida Costa brava 6, Corçà, 17121, 西班牙"""
"Jônt,""1904 14th St. NW, Washington, 20009, 美國"""
"TURK FATİH TUTAK,""Bomonti, Cumhuriyet Hacıahmet Silahşör Caddesi, Yeniyol Sokak No:2, Şişli, Istanbul, 34440, 土耳其"""
"minibar,""855 E St. NW, Washington, 20004, 美國"""
"Venta Moncalvillo,""Carretera de Medrano 6, Daroca de Rioja, 26373, 西班牙"""
"odo,""17 W. 20th St., New York, 10011, 美國"""
"Blue Hill at Stone Barns,""630 Bedford Rd., Tarrytown, 10591, 美國"""
"Saga,""70 Pine St., New York, 10005, 美國"""
"The Modern,""9 W. 53rd St., New York, 10019, 美國"""
"Pineapple and Pearls,""715 8th St. SE, Washington, 20003, 美國"""
"Atomix,""104 E. 30th St., New York, 10016, 美國"""
"Daniel,""60 E. 65th St., New York, 10065, 美國"""
"Sushi Noz,""181 E. 78th St., New York, 10075, 美國"""
"Atera,""77 Worth St., New York, 10013, 美國"""
"Jean, ""1 Central Park West, New York, 10023, 美國"""
"Gabriel Kreuther,""41 W. 42nd St., New York, 10036, 美國"""
"Aska,""47 S. 5th St., Brooklyn, 11249, 美國"""
"Jungsik,""2 Harrison St., New York, 10013, 美國"""
"Aquavit,""65 E. 55th St., New York, 10022, 美國"""
"Ever,""1340 W. Fulton St., Chicago, 60607, 美國"""
"Moody Tongue,""2515 S. Wabash Ave., Chicago, 60616, 美國"""
"Oriole,""661 W. Walnut St., Chicago, 60661, 美國"""
"Platán Gourmet,""Kastély tér 6, Tata, 2890, 匈牙利"""
"Steirereck im Stadtpark,""Am Heumarkt 2a, Wien, 1030, 奧地利"""
"Stand,""Székely Mihály utca 2, Budapest, 1061, 匈牙利"""
"Delta,""364 Syggrou Avenue, Athens, 17674, 希臘"""
"Mraz & Sohn,""Wallensteinstraße 59, Wien, 1200, 奧地利"""
"Ikarus, ""Wilhelm-Spazier-Straße 7a, Salzburg, 5020, 奧地利"""
"SENNS.Restaurant,""Söllheimerstrasse 16, Salzburg, 5020, 奧地利"""
"Silvio Nickol Gourmet Restaurant,""Coburgbastei 4, Wien, 1010, 奧地利"""
"Konstantin Filippou,""Dominikanerbastei 17, Wien, 1010, 奧地利"""
"Jungsik, ""11 Seolleung-ro 158-gil, Gangnam-gu, Seoul, 06014, 南韓"""
