"Bären,Hauptstrasse 18, Utzenstorf, 3427, 瑞士"
"Restaurant du Quai,Le Quai 10, Hermance, 1248, 瑞士"
"Auberge de la Croix d'Or, Grande-Rue 18, Yens, 1169, 瑞士"
"kontakt,Sandomierska 13, Warsaw, 02 567, 波蘭"
"Gostilnica Ruj,Dol Pri Vogljah 16, Dol pri Vogljah, 6221, 斯洛維尼亞"
"Gostilna in vinoteka Faladur,Ulica Ivana Ščeka 6, Vipava, 5271, 斯洛維尼亞"
"Gostilna Rajh,Soboška ulica 32, Bakovci, Murska Sobota, 9000, 斯洛維尼亞"
"Jožef,Vojkova Ulica 9A, Idrija, 5280, 斯洛維尼亞"
"Restavracija Majerca,Stara Fužina19, Stara Fužina, 4265, 斯洛維尼亞"
"Triangel,Zgornje Rute 9, Gozd Martuljek, 4282, 斯洛維尼亞"
"14Horses,Dominikonų Gatvė 11, Vilnius, 01131, 立陶宛"
"Gaspar's, Pylimo Gatvė 23-3, Vilnius, 01141, 立陶宛"
"Kodila,Markišavci 44, Murska Sobota, 9000, 斯洛維尼亞"
"Gostilna Mahorčič,Rodik 51, Rodik, 6240, 斯洛維尼亞"
"Xin Wen Ji (Yuexiu), 1-3F, Sino Trade Centre, 67 Panfu Road, Yuexiu, Guangzhou, 中國"
"Nüman,43 Nemuno Gatvė, Kaunas, 44288, 立陶宛"
"Le Travi,Užupio Gatvė 19, Vilnius, 01202, 立陶宛"
"Jia Yuan,7 Xingrenli, Guangxiao Road, Yuexiu, Guangzhou, 中國"
"Wen Ji Yixinji,10 Xuanyuanqiao, 76 Baohua Road, Liwan, Guangzhou, 中國"
"Mamak,Shop 082C, East 1 Street, B1F, Fashion Tianhe Plaza, 299 Tianhe Road, Tianhe, Guangzhou, 中國"
"Xiguan Zhuyuan (Lizhiwan),C4, Phase 2, Lizhiwan Scenic Area, Huangsha Avenue, Liwan, Guangzhou, 中國"
"Ease (Yuexiu),112A, 1F, Newspaper Printing Service Building, 289 Art Park, 289 Guangzhou Middle Avenue, Yuexiu, Guangzhou, 中國"
"Liang Jie Nanning Pumiao Shengzha Mifen,242 Yinghua Street, Xiaogang Bay, Haizhu, Guangzhou, 中國"
"Hui Xing Yuan,177 Xiaobei Road, Yuexiu, Guangzhou, 中國"
"Dayang (Wenming Road), 160-1 Wenming Road, Yuexiu, Guangzhou, 中國"
"Sa Er Ta Dongxiang Shou Zhua,103 Baohan Zhijie, Yuexiu, Guangzhou, 中國"
"Zijin Shi Fang, 39-1 Zishan Street, Haizhu, Guangzhou, 中國"
"Chuang Fa, 512-2 Guangfu North Road, Liwan, Guangzhou, 中國"
"Lao Xiguan Laifen (Wenming Road),216 Wenming Road, Yuexiu, Guangzhou, 中國"
"Xing Fu Yi Zhan (Yulei Third Street),8 Yulei Third Street, Tianhe, Guangzhou, 中國"
"Stay Here,Shop 2, 23 Xigang Road, Haizhu, Guangzhou, 中國"
"Enning Liu Fu Ji (Donghua East Road),547 Donghua East Road, Yuexiu, Guangzhou, 中國"
"Zhu Zai Ji Shi Fu (Jiangnan Avenue),429 Jiangnan Avenue South, Haizhu, Guangzhou, 中國"
"Xiguan Zhuyuan (Shiba Fu),107 Shiba Fu South Road, Liwan, Guangzhou, 中國"
"Ze 8 (Haizhu),174 Binjiang West Road, Haizhu, Guangzhou, 中國"
"Hai Xian Jie Cai Guan, 152-2 Haizhu South Road, Yuexiu, Guangzhou, 中國"
"FT · Bak Kut Teh, Wonderful Life Mansion, 36-48 Wenming Road, Yuexiu, Guangzhou, 中國"
"Hui Cheng (Dunhe Road),H 101, Yeo’s Park, Dunhe Road, Haizhu, Guangzhou, 中國"
"Wei Shi Jia,598 Jiefang North Road, Yuexiu, Guangzhou, 中國"
"Hunan Cuisine, 2842-39 East Xingang Road, Haizhu, Guangzhou, 中國"
"Lingnan Haiyanlou (Binjiang East Road), 2-3F, Jiangpan Huating, 1040 Binjiang East Road, Haizhu, Guangzhou, 中國"
"Hai Men Yu Zi Dian (Yanling Road), 1-2F, Jinyan Mansion, 120 Yanling Road, Tianhe, Guangzhou, 中國"
"Yao Ji,15 Long Yuan Road, Panyu, Guangzhou, 中國"
"Tong Ji,3 Fuguangli, Changshou East Road, Liwan, Guangzhou, 中國"
"Temple Street,10 Dongdi Second Road, Yuexiu, Guangzhou, 中國"
"Xiang Qun (Longjin East Road), 853-857 Longjin East Road, Liwan, Guangzhou, 中國"
"Huacheng Yuan (Jinsui Road),5F, Grand Mercure, 62 Jinsui Road, Zhujiang New Town, Tianhe, Guangzhou, 中國"
"Soodle,Shop 309, 3F, Adjoining Building, Kingold Century, 62 Jinsui Road, Tianhe, Guangzhou, 中國"
"Rong Yi Fa Niu Za Dian (Shishu Road),56 Shishu Road, Yuexiu, Guangzhou, 中國"
"Da Ge Fan (Tangxiayong West Road),1F, Tian Hui Building, 69 Tangxiayong West Road, Tianhe, Guangzhou, 中國"
"Ya Yuan,14 Chaotian Road, Yuexiu, Guangzhou, 中國"
"Dai Yong Town,59 Tianhe East Road, Tianhe, Guangzhou, 中國"
"Xin Tai Le (Yuexiu), 1-2F, Sino Trade Centre, 65 Panfu Road, Yuexiu, Guangzhou, 中國"
"Hua Ge Si Chu,443 Guangfu North Road, Liwan, Guangzhou, 中國"
"305,Toinen linja 3, Helsinki, 00530, 芬蘭"
"Enomania,Vesterbrogade 187, Copenhagen, 1800 C, 丹麥"
"Nan Yuan,142 Qianjin Road, Haizhu, Guangzhou, 中國"
"Jian Ji (Liwan), 299-303 Changshou East Road, Liwan, Guangzhou, 中國"
"Mian Ji (Yuexiu),224 Dezheng Middle Road, Yuexiu, Guangzhou, 中國"
"Bar Agrikultur,Skånegatan 79, Stockholm, 116 35, 瑞典"
"Lilla Ego,Västmannagatan 69, Stockholm, 113 26, 瑞典"
"The Little Pickle,Jens Bjelkes gate 9A, Oslo, 0562, 挪威"
"Pluto,Borgergade 16, Copenhagen, 1300 K, 丹麥"
"Anarki,Vodroffsvej 47, Copenhagen, 1900 C, 丹麥"
"Namu,Landbygatan 5, Malmö, 211 34, 瑞典"
"no.2,Nicolai Eigtveds Gade 32, Copenhagen, 1402 K, 丹麥"
"Familjen,Arkivgatan 7, Gothenburg, 411 34, 瑞典"
"Silberbauers Bistro,Jægersborggade 40, Copenhagen, 2200 N, 丹麥"
"juju,Øster Farimagsgade 8, Copenhagen, 2100 Ø, 丹麥"
"Marv & Ben,Snaregade 4, Copenhagen, 1205 K, 丹麥"
"Pondus,Åboulevarden 51, Aarhus, 8000, 丹麥"
"Mathias Dahlgren, Södra Blasieholmshamnen 6, Stockholm, 103 27, 瑞典"
"Mêlée,Martensens Allé 16, Copenhagen, 1828 C, 丹麥"
"Ruths,Mäster Johansgatan 11, Malmö, 21121, 瑞典"
"Smalhans,Ullevålsveien 43, Oslo, 0171, 挪威"
"Bjørnekælderen,Frederiksberg Allé 55, Copenhagen, 1820, 丹麥"
"FAGN, Ørjaveita 4, Trondheim, 7010, 挪威"
"Selma,Rømersgade 20, Copenhagen, 1362 K, 丹麥"
"anx, Oddervej 19-21, Aarhus, 8000, 丹麥"
"Gabrielle,Vestergade 3, Copenhagen, 1456, 丹麥"
"plein,Suvannontie 18, Helsinki, 00510, 芬蘭"
"Allegrine,Kammakargatan 22, Stockholm, 111 40, 瑞典"
"Frances,Henrik Ibsens gate 48, Oslo, 0255, 挪威"
"Bistro Lupa,Marstalsgade 8, Copenhagen, 2100, 丹麥"
"Paesàno,Jægersborggade 41, Copenhagen, 2200, 丹麥"
"Babette,Roslagsgatan 6, Stockholm, 113 55, 瑞典"
"Norrlyst,Kompagnistrædet 8, Copenhagen, 1208, 丹麥"
"Mutantur, Erik Dahlbergsgatan 12-14, Malmö, 211 42, 瑞典"
"Møntergade,Møntergade 19, Copenhagen, 1050, 丹麥"
"JH Matbar,Stora Östergatan 34, Ystad, 27134, 瑞典"
"Nolla,Fredrikinkatu 22, Helsinki, 00150, 芬蘭"
"Bobe,Gråbrødretorv 11, Copenhagen, 1154, 丹麥"
"Härg,Maakri 21, Tallinn, 10145, 愛沙尼亞"
"Triton,Ringvägen 87, Stockholm, 118 61, 瑞典"
"NOA,Ranna tee 3, Tallinn, 12112, 愛沙尼亞"
"Bona Fide,Vironkatu 8, Helsinki, 00170, 芬蘭"
"Fellin,Kauba 11, Viljandi, 71011, 愛沙尼亞"
"Mantel ja Korsten,Poska 19a, Tallinn, 10216, 愛沙尼亞"
"Tuljak,Pirita tee 26e, Tallinn, 10127, 愛沙尼亞"
"Mocotó Vila Leopoldina, Rua Aroaba, 333, São Paulo, 05315-020, 巴西"
"Più Higienópolis, Avenida Higienópolis 618, São Paulo, 01238-001, 巴西"
"Manioca, Avenida Brigadeiro Faria Lima 2232, São Paulo, 01451-000, 巴西"
"Capim Santo, Av. Brig. Faria Lima, 2705, São Paulo, 01451-000, 巴西"
"Lore Bistroo,Peetri 12, Port Noblessner, Tallinn, 10415, 愛沙尼亞"
"Cora, Rua Amaral Gurgel, 344, São Paulo, 01221-000, 巴西"
"Petí Gastronomia, Rua Cotoxó 110 - Loja Pintar, São Paulo, 05021-000, 巴西"
"Zena Cucina, Rua Peixoto Gomide 1901, São Paulo, 01409-002, 巴西"
"Banzeiro, Rua Tabapuã 830, São Paulo, 04533-003, 巴西"
"AE! Café & Cozinha, Rua Áurea 285, São Paulo, 04015-070, 巴西"
"TonTon, Rua Caconde 132, São Paulo, 01425-010, 巴西"
"Miam Miam, Rua General Góis Monteiro 34, Rio de Janeiro, 22290-080, 巴西"
"Artigiano, Avenida Epitácio Pessoa 204, Rio de Janeiro, 22471-002, 巴西"
"Barú Marisquería, Rua Augusta 2542, São Paulo, 01412-100, 巴西"
"Mocotó, Avenida Nossa Senhora do Loreto 1100, São Paulo, 02219-001, 巴西"
"Pici Trattoria, Rua Barão da Torre 348, Rio de Janeiro, 22411-000, 巴西"
"Nomo, Rua Harmonia 815, São Paulo, 05435-000, 巴西"
"Più Pinheiros, Rua Ferreira de Araújo 314, São Paulo, 05428-000, 巴西"
"Tordesilhas, Alameda Tietê 489, São Paulo, 01417-020, 巴西"
"Shihoma Pasta Fresca, Rua Medeiros De Albuquerque 431, São Paulo, 05436-060, 巴西"
"Sult, Rua Fernandes Guimarães, 77, Rio de Janeiro, 22290-000, 巴西"
"Fitó, Rua Cardeal Arcoverde 2773, São Paulo, 05407-004, 巴西"
"A Baianeira, Avenida Paulista 1578, São Paulo, 01310-200, 巴西"
"The Kith, Avenida Rebouças 3875, São Paulo, 05401-450, 巴西"
"Feriae, Rua Padre Carvalho 171, São Paulo, 05427-100, 巴西"
"Bistrot de Paris, Rua Augusta 2542, São Paulo, 01412-100, 巴西"
"Maria e o Boi, Rua Maria Quitéria 111, Rio de Janeiro, 22410-040, 巴西"
"Cuia, Av. Ipiranga, 200 - Loja 48, São Paulo, 01046-010, 巴西"
"Komah, Rua Cônego Vicente Miguel Marino 378, São Paulo, 01135-020, 巴西"
"Didier, Rua Vinícius de Moraes, 124, A, Ipanema, Rio de Janeiro, 22411-010, 巴西"
"Ecully, Rua Cotoxó 493, São Paulo, 05021-000, 巴西"
"Le Bife, Rua Pedroso Alvarenga 1088, São Paulo, 04531-004, 巴西"
"Brota, Rua Conde de Irajá, 98, Rio de Janeiro, 22271-020, 巴西"
"Corrutela, Rua Medeiros de Albuquerque 256, São Paulo, 05436-060, 巴西"
"Balaio IMS, Avenida Paulista 2424, São Paulo, 01310-300, 巴西"
"Los Consentidos del Barrio, Manzanas 27-B, Tlacoquemecatl del Valle, Benito Juárez, 03200, 墨西哥"
"Brasserie Victória, Avenida Presidente Juscelino Kubitschek 545, São Paulo, 04543-010, 巴西"
"Tacos Charly,Av. San Fernando 201, Toriello Guerra, Tlalpan, 14050, 墨西哥"
"A Baianeira, Dona Elisa 117, São Paulo, 01155-030, 巴西"
"Kotori, Rua Cônego Eugênio Leite, 639, São Paulo, 05414-011, 巴西"
"Expendio de Maíz,Av. Yucatán 84, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Masala y Maíz,Marsella 72, Juárez, Cuauhtémoc, 06600, 墨西哥"
"Taqueria Los Cocuyos,Simón Bolívar 67, Centro, Cuauhtémoc, 06000, 墨西哥"
"Taquería El Jarocho,Tapachula 94, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Raíz,Schiller 331, entre Horacio y Presidente Mazaryk, Polanco, Miguel Hildalgo, 11560, 墨西哥"
"Comedor Jacinta,Virgilio 40, Polanco, Miguel Hildalgo, 11550, 墨西哥"
"Galanga Thai House,Monterrey 204, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Molino El Pujol,Benjamín Hill, 146, Hipódromo Condesa, Cuauhtémoc, 06100, 墨西哥"
"Siembra Tortillería,Av. Isaac Newton 256, Polanco, Miguel Hildalgo, 11560, 墨西哥"
"Tacos Doña Mary La Gritona,Avenida Francisco I. Madero Ote, Centro, Monterrey, 64000, 墨西哥"
"Fugaz,Orizaba 3, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"El Vilsito,Av. Universidad 248, Narvarte Oriente, Benito Juárez, 03020, 墨西哥"
"Alfonsina,García Vigil 183, Oaxaca, 71232, 墨西哥"
"Comal Oculto,Manuel Gómez Pedraza 37, San Miguel Chapultepec, Miguel Hildalgo, 11850, 墨西哥"
"Filigrana,Av. Veracruz 62, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Punta Corcho, Av. Rafael E. Melgar, SM01, MZ6, Lt. 01-01, Puerto Morelos, 77580, 墨西哥"
"Caracol de Mar,República De Guatemala, 20, Centro, Cuauhtémoc, 06000, 墨西哥"
"Pargot,Chiapas 46, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Galea,Sinaloa, 67, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Cobarde,Macedonio Alcalá 505, Oaxaca, 68000, 墨西哥"
"Aleli Rooftop,Sinaloa 141, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Cocina de Campo by Agricole,Carretera a Los Cabos Km. 59, El Pescadero, 23310, 墨西哥"
"Mestixa,Avenida Satélite S/N, Tulum, 77760, 墨西哥"
"Las Quince Letras,C. de Mariano Abasolo 300, Oaxaca, 68000, 墨西哥"
"Tacos Los Alexis,Chiapas 46, Roma Norte, Cuauhtémoc, 06700, 墨西哥"
"Casa Marcelo,Av. Riveroll 771, Zona Centro, Ensenada, 22800, 墨西哥"
"Tierra del Sol,Reforma 411, Oaxaca, 68000, 墨西哥"
"Sabina,Av. Adolfo López Mateos 993, Zona Centro, Ensenada, 22800, 墨西哥"
"La Olla,Reforma 402, Oaxaca, 68000, 墨西哥"
"Humo y Sal,Km 108, Zona Playitas, Ensenada, 22860, 墨西哥"
"Villa Torél,Bodegas de Santo Tomás Km 94.7 Carretera Federal No. 3, 22766, Villa de Juárez, B.C., Valle de Guadalupe, 22766, 墨西哥"
"Labo Fermento,Manuel Bravo 401, Oaxaca, 68000, 墨西哥"
"Axiote Cocina de Mexico,34 Nte., M. 65, Lt. 11, Playa del Carmen, 77710, 墨西哥"
"Metate,Av. Crispin Ceseña S/N, Cabo San Lucas, 23454, 墨西哥"
"Cetli, Carr. Tulum-Coba Km. 2.5, Villas Tulum, Tulum, 77780, 墨西哥"
"Flora's Field Kitchen,Carretera Transpeninsular Km. 30, San José del Cabo, 23407, 墨西哥"
"Merak,Lerdo de Tejada & Ignacio Comonfort, Villa de Juárez, 22766, 墨西哥"
"Ike Edoyakiunagi Asahitei, 29 Haibara Shimoidani, Uda, Nara, 633-0241, 日本"
"La Cocina de Doña Esthela,Ranchos San Marcos, El Porvenir, 22755, 墨西哥"
"La Concheria, Av. Miramar 637-9, Zona Centro, Ensenada, 22800, 墨西哥"
"Carmelita Molino y Cocina,Jiménez 7771, Independencia, Tijuana, 22055, 墨西哥"
"Unagino Toyokawa, 3-3-12 Tomio Motomachi, Nara, Nara, 631-0078, 日本"
"Shikinoaji Enzu, 6-5-14 Omiyacho, Nara, Nara, 630-8115, 日本"
"le content, 1-3-8 Ayameike Minami, Nara, Nara, 631-0033, 日本"
"Noto Toto Teuchisoba Tabiki, 1-3-6 Horyuji Nishi, Ikarugacho, Ikoma-gun, Nara, 636-0114, 日本"
"Kushizukushi, 31 Yanagimachi, Nara, Nara, 630-8353, 日本"
"Sosakukushinomise Rindo, 224-1 Tsujimachi, Ikoma, Nara, 630-0212, 日本"
"Simple comme Bonjour, 68-3 Kawaharajocho, Tenri, Nara, 632-0016, 日本"
"PIZZERIA TRATTORIA MAGAZZINO, 172-1 Kamada, Kashiba, Nara, 639-0227, 日本"
"YAMAOKA PIZZA, 455 Onitoricho, Ikoma, Nara, 630-0237, 日本"
"Masala an TAKUMI, 2281 Nakamachi, Nara, Nara, 631-0052, 日本"
"Shunsai Chuka Bar Mitsukan, 4-4-5 Naizencho, Kashihara, Nara, 634-0804, 日本"
"Pizzeria Luna Nuova, 2-1-35 Omiyacho, Nara, Nara, 630-8115, 日本"
"toi Inshokuten, 30-3 Hanashibacho, Nara, Nara, 630-8266, 日本"
"Kiminami, 2201-1 Oshikumacho, Nara, Nara, 631-0011, 日本"
"Xin Liu He,37 Yile Road, Xihu, Hangzhou, 中國"
"Chukasoba Oshitani, 5-4-30 Shijooji, Nara, Nara, 630-8014, 日本"
"Menya Ittoku, 372-2 Kawaharajocho, Tenri, Nara, 632-0016, 日本"
"Wu Zi Mian Guan,116 Huansha Road, Shangcheng, Hangzhou, 中國"
"Lai Cui Mian Guan (Ji Mao Road),315 Ji Mao Road, Xihu, Hangzhou, 中國"
"Hui Xin Xiao Chi Dian, 83-1 Deyuan Road, Gongshu, Hangzhou, 中國"
"A VOTRE SANTE, 6-26 Shinasahigaoka, Ikoma, Nara, 630-0253, 日本"
"Er Ba Jiu Su Mian Guan,289 Tianzhu Road, Xihu, Hangzhou, 中國"
"Definitely Fresh,2F, Meifan Plaza Proya, 588 Xixi Road, Xihu, Hangzhou, 中國"
"Ge Lang Guan, 130-135, Building 1, My Babini Shopping Mall, 698 Xiaohe Road, Gongshu, Hangzhou, 中國"
"Xiu Cai Yang Rou Mian,471 Wensan Road, Xihu, Hangzhou, 中國"
"Nan Feng Fan Dian,819 Renmin Road, Xiaoshan, Hangzhou, 中國"
"Xun Wei Jiang Nan,207 Yunhe Yingxiang, 336 Yanjia Road, Shangcheng, Hangzhou, 中國"
"Qing Chun Perma,181 Baileqiao, Xihu, Hangzhou, 中國"
"Xiao Dian Huang, 205-207, 2F, Building 8, Greenland Central Plaza, Daguan Road, Gongshu, Hangzhou, 中國"
"Bao Zhong Bao Shi Fu,224 Qingtai Street, Shangcheng, Hangzhou, 中國"
"Fang Lao Da (Shangcheng),629 Jiangcheng Road, Shangcheng, Hangzhou, 中國"
"Yue Ji,4F, Building 1, Phase 1, Star Avenue, 228 Jiangnan Avenue, Binjiang, Hangzhou, 中國"
"Fu Xing Mian Wang,178 Hedong Road, Gongshu, Hangzhou, 中國"
"King's Choice (Huyu Road), 36-7 Huyu Road, Shangcheng, Hangzhou, 中國"
"Fu Yuan Ju (Shangcheng),35 Hefang Street, Shangcheng, Hangzhou, 中國"
"Xiao Lao Hun Tun,12 Sipailou, Ziyang Street, Shangcheng, Hangzhou, 中國"
"Rong Xian Mian Guan (Qianjiang Road),629 Qianjiang Road, Shangcheng, Hangzhou, 中國"
"Zhi Zhu (Xihu),69 Tianzhu Road, Xihu, Hangzhou, 中國"
"Zitz Sum,396 Alhambra Cir., Coral Gables, 33134, 美國"
"La Natural,7289 N.W. 2nd Ave., Miami, 33150, 美國"
"El Turco,184 N.E. 50th Terr., Miami, 33137, 美國"
"Sanguich De Miami,2057 S.W. 8th St., Miami, 33135, 美國"
"Tinta y Cafe,1315 Ponce De Leon Blvd., Coral Gables, 33134, 美國"
"Otto's High Dive,2304 E. Robinson St., Orlando, 32803, 美國"
"Sushi Saint,400 Pittman St., Ste. A, Orlando, 32801, 美國"
"Norigami,426 W. Plant St., Winter Garden, 34787, 美國"
"Gorkhali Kitchen,10044 Cross Creek Blvd., Tampa, 33647, 美國"
"Michael's Genuine,130 N.E. 40th St., Miami, 33137, 美國"
"Streetlight Taco,4004 Henderson Blvd., Tampa, 33629, 美國"
"Zaru,1114 E. Colonial Dr., Orlando, 32803, 美國"
"Bachour,2020 Salzedo St., Coral Gables, 33134, 美國"
"Psomi,701 N. Howard Ave., Tampa, 33606, 美國"
"Lucali,1930 Bay Rd., Miami Beach, 33139, 美國"
"Mandolin Aegean Bistro,4312 N.E. 2nd Ave., Miami, 33137, 美國"
"Ghee Indian Kitchen,8965 S.W. 72nd Pl., Miami, 33156, 美國"
"Rosie's,162 N.W. 73rd St., Miami, 33150, 美國"
"Phuc Yea,7100 Biscayne Blvd., Miami, 33138, 美國"
"Hometown Barbecue Miami,1200 N.W. 22nd St., #100, Miami, 33142, 美國"
"Chug's Diner,3444 Main Hwy., Miami, 33133, 美國"
"DOYA,347 N.W. 24th St., Miami, 33127, 美國"
"Zak The Baker,295 N.W. 26th St., Miami, 33127, 美國"
"Taste of Chengdu,4856 New Broad St., Orlando, 32814, 美國"
"Domu,3201 Corrine Dr., #100, Orlando, 32803, 美國"
"Isan Zaap,4693 Gardens Park Blvd., Ste 113, Orlando, 32839, 美國"
"Rooster and the Till,6500 N. Florida Ave., Tampa, 33604, 美國"
"Z Asian,1830 E. Colonial Dr., Orlando, 32803, 美國"
"Bombay Street Kitchen,6215 S. Orange Blossom Trl., Orlando, 32809, 美國"
"The Ravenous Pig,565 W. Fairbanks Ave., Orlando, 32789, 美國"
"Akihana, 27 Ichijoji Hinokuchicho, Sakyo-ku, Kyoto, 606-8167, 日本"
"Tam Tam,99 N.W. 1st St., Miami, 33128, 美國"
"Strand,807 N. Mills Ave., Orlando, 32803, 美國"
"gastroteka bimendi, 1-5-9 Utsubohommachi, Nishi-ku, Osaka, 550-0004, 日本"
"Ramen Touhichi, 8-6 Yamabana Itchodacho, Sakyo-ku, Kyoto, 606-8007, 日本"
"Osteria La Cicerchia, 3F, 2-3-4 Kyomachibori, Nishi-ku, Osaka, 550-0003, 日本"
"Chinese Noodles ROKU, 2F, Good Nature Station, 318-6 Inaricho, Shimogyo-ku, Kyoto, 600-8022, 日本"
"Ramen Kuon, B2F, Semba Centar Bldg Sangokan, 1-4-3 Sembachuo, Chuo-ku, Osaka, 541-0055, 日本"
"Berangkat, 334 Maruyacho, Nakagyo-ku, Kyoto, 604-8086, 日本"
"Ramen Hayato, 1-2-2 Minamimorimachi, Kita-ku, Osaka, 530-0054, 日本"
"Sobakiri Gaku, 7-1-54 Tanimachi, Chuo-ku, Osaka, 542-0012, 日本"
"Ishii Jr., 2F, 3-11-4 Nishitemma, Kita-ku, Osaka, 530-0047, 日本"
"Sobakiri Karani, 2-11-26 Sagisu, Fukushima-ku, Osaka, 553-0002, 日本"
"KOBUSHI Ramen, 1-16 Sujaku Shokaicho, Shimogyo-ku, Kyoto, 600-8841, 日本"
"Asperge Blanche, 313-2 Yokosuwancho, Shimogyo-ku, Kyoto, 600-8179, 日本"
"Macauda, 2-1-3 Tokiwamachi, Chuo-ku, Osaka, 540-0028, 日本"
"Az, B1F, 4-4-8 Nishitemma, Kita-ku, Osaka, 530-0047, 日本"
"Soba Rojina, 691 Maruyacho, Nakagyo-ku, Kyoto, 604-0917, 日本"
"Tonkatsu Daiki, 1-6-2 Higashishinsaibashi, Chuo-ku, Osaka, 542-0083, 日本"
"Sumiyakisosaitoriya Hitomi, 96 Okikucho, Sakyo-ku, Kyoto, 606-8376, 日本"
"au soleil couchant, 1-14-25 Shitennoji, Tennoji-ku, Osaka, 543-0051, 日本"
"Udondokoro Shigemi, 4-7-7 Nishitemma, Kita-ku, Osaka, 530-0047, 日本"
"BOCCA del VINO, 138-9 Saitocho, Shimogyo-ku, Kyoto, 600-8012, 日本"
"Gion Yorozuya, 555-1 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, 日本"
"Soba Takama, 7-12-14 Tenjimbashi, Kita-ku, Osaka, 531-0041, 日本"
"Gombei, 254 Giommachi Kitagawa, Higashiyama-ku, Kyoto, 605-0073, 日本"
"Sakeya Sakana Yoshimura, 1-13-21 Tenjimbashi, Kita-ku, Osaka, 530-0041, 日本"
"Hiiragitei, 306-6 Ishibashicho, Higashiyama-ku, Kyoto, 605-0066, 日本"
"Benikurage, 5-4 Hommachibashi, Chuo-ku, Osaka, 540-0029, 日本"
"HUNTER, 533-2 Tsuboyacho, Nakagyo-ku, Kyoto, 604-0814, 日本"
"Washoku Haru, 230-2 Shimmeicho, Shimogyo-ku, Kyoto, 600-8092, 日本"
"ricuperare TAKEUCHI, 1-4-3 Tosabori, Nishi-ku, Osaka, 550-0001, 日本"
"Oito, 253 Giommachi Kitagawa, Higashiyama-ku, Kyoto, 605-0073, 日本"
"Bistro des Chenapans, 2-14-1 Kyomachibori, Nishi-ku, Osaka, 550-0003, 日本"
"Menya Inoichi, 542 Ebisunocho, Shimogyo-ku, Kyoto, 600-8033, 日本"
"il luogo di TAKEUCHI, 5-1-26 Fukushima, Fukushima-ku, Osaka, 553-0003, 日本"
"Sobashubo Ichii, 62 Hirano Miyanishicho, Kita-ku, Kyoto, 603-8357, 日本"
"KORISU, 101 Rokurocho, Higashiyama-ku, Kyoto, 605-0813, 日本"
"Shokudo Akari, 2F, 1-6-27 Sonezakishinchi, Kita-ku, Osaka, 530-0002, 日本"
"Hommachi Seimenjo Chukasobakobo, B2F, Semba Centar Bldg Nigokan, 1-3-2 Sembachuo, Chuo-ku, Osaka, 541-0055, 日本"
"KASHIWAI, 3-3 Koyama Shimochikawaracho, Kita-ku, Kyoto, 603-8132, 日本"
"Ayamedo, 2-2-26 Andojimachi, Chuo-ku, Osaka, 542-0061, 日本"
"Taiho, 149 Nishinokyo Hoshigaikecho, Nakagyo-ku, Kyoto, 604-8416, 日本"
"Aozora blue, 4-5-8 Hiranomachi, Chuo-ku, Osaka, 541-0046, 日本"
"Sobakiri Arabompu, 4-1-11 Nishitemma, Kita-ku, Osaka, 530-0047, 日本"
"Muromachi Kaji, 185 Nakanonocho, Shimogyo-ku, Kyoto, 600-8435, 日本"
"Naniwa Okina, 4-1-18 Nishitemma, Kita-ku, Osaka, 530-0047, 日本"
"Sobakiri Imose, 2-9-2 Tamatsukuri, Chuo-ku, Osaka, 540-0004, 日本"
"Bistro Yanagihara, 358 Shimizucho, Nakagyo-ku, Kyoto, 604-0911, 日本"
"Shigetsu, 68 Sagatenryuji Susukinobabacho, Ukyo-ku, Kyoto, 616-8385, 日本"
"Ikkon Uehara, 232-9 Kamigoryokamiecho, Kita-ku, Kyoto, 603-8147, 日本"
"La bonne tâche, 4-1-8 Nishitemma, Kita-ku, Osaka, 530-0047, 日本"
"Chukasoba Mugen, 5-5-10 Ebie, Fukushima-ku, Osaka, 553-0001, 日本"
"Kanesho, 155-2 Tokiwacho, Higashiyama-ku, Kyoto, 605-0079, 日本"
"Choshoku Kishin, 555 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, 日本"
"Jukuseibuta Kawamura, 57-1 Takehana Nishinoguchicho, Yamashina-ku, Kyoto, 607-8089, 日本"
"tanpopo, 6F, 1-10-16 Sonezakishinchi, Kita-ku, Osaka, 530-0002, 日本"
"Yoshokuya Fujiya, 2-2-1 Yariyamachi, Chuo-ku, Osaka, 540-0027, 日本"
"Eitaroya, 448 Tatsunoikecho, Nakagyo-ku, Kyoto, 604-8176, 日本"
"Kushi Tanaka, 310-10 Uradeyamacho, Nakagyo-ku, Kyoto, 604-8155, 日本"
"Suigyo Murabayashi, B1F, 1-2-17 Dojima, Kita-ku, Osaka, 530-0003, 日本"
"Sushidokoro Kaihara, 5-4 Ikedacho, Kita-ku, Osaka, 530-0033, 日本"
